493	683	843	875	790	537	1356	1041	855	428	632	743	1159	467	853	510	931	506	427	1042	882	
674	478	890	546	1160	788	1070	1404	1173	452	453	458	1113	505	503	713	1279	473	461	1215	471	
879	889	615	801	746	858	857	823	933	793	791	729	745	806	720	825	862	764	776	844	732	
882	518	784	374	896	993	565	941	1029	565	383	354	624	775	328	771	763	379	508	757	354	
859	1194	706	969	460	591	1055	676	507	529	676	808	849	460	803	470	493	513	512	660	748	
531	829	841	995	542	359	1278	886	573	415	676	850	984	394	931	357	611	465	421	831	745	
1458	1168	819	669	1070	1355	507	717	1140	925	700	460	445	986	395	710	656	548	853	570	403	
1171	1418	820	976	759	1030	716	421	823	920	867	678	630	757	695	448	371	664	653	367	721	
903	1321	920	1057	516	596	1097	744	431	506	606	926	936	432	774	354	342	439	453	639	758	
416	546	773	743	465	352	855	754	478	556	471	841	844	577	807	755	651	332	650	636	780	
638	475	777	442	684	717	587	847	657	449	610	493	667	729	583	695	767	524	469	670	583	
728	452	688	343	722	792	412	671	798	467	691	565	478	691	209	682	534	587	418	534	723	
1419	1231	792	700	850	1133	409	602	819	1061	661	481	341	776	373	440	455	737	708	675	597	
445	586	807	910	448	318	975	711	400	837	873	808	765	367	736	687	509	-2147483647	775	640	666	
853	467	796	395	919	944	387	664	890	693	619	808	346	1039	468	468	480	543	-2147483647	425	773	
499	785	859	908	468	398	799	466	409	1034	912	628	523	571	495	596	384	581	570	389	505	
1108	1494	955	947	563	826	614	381	495	743	792	476	412	592	464	556	419	451	995	550	437	
532	541	723	652	508	511	503	769	551	667	787	391	863	558	630	644	493	662	-2147483647	509	414	
430	546	749	683	467	359	809	684	391	498	592	626	590	812	424	634	-2147483647	525	492	700	-2147483647	
1203	1532	840	905	716	941	565	455	702	1019	823	449	705	703	541	467	750	423	699	395	-2147483647	
869	504	795	302	805	874	450	695	823	636	888	611	-2147483647	838	559	476	524	526	-2147483647	843	-2147483647	
